"identifier" "study_id" "species" "duration" "dose" "dose_interval" "target_organ" "description" "adverse" "reversible" "extra_info"
"425" "Compound 18" "Study 90" "cynomolgus" 52 "7.5" "week" "pancreas" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"426" "Compound 18" "Study 90" "cynomolgus" 52 "7.5" "week" "eye" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"427" "Compound 18" "Study 90" "cynomolgus" 52 "7.5" "week" "bladder" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"428" "Compound 18" "Study 90" "cynomolgus" 52 "7.5" "week" "knee joint" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"429" "Compound 18" "Study 90" "cynomolgus" 52 "7.5" "week" "lymph node" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"430" "Compound 18" "Study 90" "cynomolgus" 52 "0.5" "week" "central nervous system" "vacuolation, PEG accumulation" "yes" "nr" "NA"
"431" "Compound 18" "Study 90" "cynomolgus" 52 "1.5" "week" "central nervous system" "vacuolation, PEG accumulation" "yes" "nr" "NA"
"432" "Compound 18" "Study 90" "cynomolgus" 52 "7.5" "week" "central nervous system" "vacuolation, PEG accumulation" "yes" "nr" "NA"
"433" "Compound 18" "Study 90" "cynomolgus" 52 "0.5" "week" "injection site" "foamy/granular macrophages, infiltrate, fibrosis" "no" "NA" "NA"
"434" "Compound 18" "Study 90" "cynomolgus" 52 "1.5" "week" "injection site" "foamy/granular macrophages, infiltrate, fibrosis" "no" "NA" "NA"
"435" "Compound 18" "Study 90" "cynomolgus" 52 "7.5" "week" "injection site" "foamy/granular macrophages, infiltrate, fibrosis" "no" "NA" "NA"
"436" "Compound 18" "Study 91" "rat" 26 "1" "qod" "central nervous system" "PEG accumulation" "yes" "nr" "NA"
"437" "Compound 18" "Study 91" "rat" 26 "3" "qod" "central nervous system" "vacuolation, PEG accumulation" "yes" "nr" "NA"
"438" "Compound 18" "Study 91" "rat" 26 "10" "qod" "central nervous system" "vacuolation, PEG accumulation" "yes" "nr" "NA"
"439" "Compound 18" "Study 91" "rat" 26 "1" "qod" "endocrine system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"440" "Compound 18" "Study 91" "rat" 26 "1" "qod" "gi tract" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"441" "Compound 18" "Study 91" "rat" 26 "1" "qod" "reproductive system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"442" "Compound 18" "Study 91" "rat" 26 "1" "qod" "exocrine system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"443" "Compound 18" "Study 91" "rat" 26 "1" "qod" "cutaneous" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"444" "Compound 18" "Study 91" "rat" 26 "1" "qod" "eye" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"445" "Compound 18" "Study 91" "rat" 26 "1" "qod" "urinary system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"446" "Compound 18" "Study 91" "rat" 26 "1" "qod" "lymphoid tissues" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"447" "Compound 18" "Study 91" "rat" 26 "1" "qod" "liver" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"448" "Compound 18" "Study 91" "rat" 26 "1" "qod" "cardiovascular system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"449" "Compound 18" "Study 91" "rat" 26 "3" "qod" "endocrine system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"450" "Compound 18" "Study 91" "rat" 26 "3" "qod" "gi tract" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"451" "Compound 18" "Study 91" "rat" 26 "3" "qod" "reproductive system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"452" "Compound 18" "Study 91" "rat" 26 "3" "qod" "exocrine system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"453" "Compound 18" "Study 91" "rat" 26 "3" "qod" "cutaneous" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"454" "Compound 18" "Study 91" "rat" 26 "3" "qod" "eye" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"455" "Compound 18" "Study 91" "rat" 26 "3" "qod" "urinary system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"456" "Compound 18" "Study 91" "rat" 26 "3" "qod" "lymphoid tissues" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"457" "Compound 18" "Study 91" "rat" 26 "3" "qod" "liver" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"458" "Compound 18" "Study 91" "rat" 26 "3" "qod" "cardiovascular system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"459" "Compound 18" "Study 91" "rat" 26 "10" "qod" "endocrine system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"460" "Compound 18" "Study 91" "rat" 26 "10" "qod" "gi tract" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"461" "Compound 18" "Study 91" "rat" 26 "10" "qod" "reproductive system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"462" "Compound 18" "Study 91" "rat" 26 "10" "qod" "exocrine system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"463" "Compound 18" "Study 91" "rat" 26 "10" "qod" "cutaneous" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"464" "Compound 18" "Study 91" "rat" 26 "10" "qod" "eye" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"465" "Compound 18" "Study 91" "rat" 26 "10" "qod" "urinary system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"466" "Compound 18" "Study 91" "rat" 26 "10" "qod" "lymphoid tissues" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"467" "Compound 18" "Study 91" "rat" 26 "10" "qod" "liver" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"468" "Compound 18" "Study 91" "rat" 26 "10" "qod" "cardiovascular system" "vacuolation, foamy/granular macrophages" "no" "nr" "NA"
"469" "Compound 18" "Study 91" "rat" 26 "1" "qod" "injection site" "foamy/granular macrophages, fibrosis" "yes" "nr" "NA"
"470" "Compound 18" "Study 91" "rat" 26 "3" "qod" "injection site" "foamy/granular macrophages, fibrosis" "yes" "nr" "NA"
"471" "Compound 18" "Study 91" "rat" 26 "10" "qod" "injection site" "foamy/granular macrophages, fibrosis" "yes" "nr" "NA"
"472" "Compound 18" "Study 92" "cynomolgus" 13 "0.10000000000000001" "week" "axillary lymph node" "mild-foamy/granular macrophages" "no" "tr" "NA"
"473" "Compound 18" "Study 92" "cynomolgus" 13 "0.29999999999999999" "week" "axillary lymph node" "mild-foamy/granular macrophages" "no" "tr" "NA"
"474" "Compound 18" "Study 92" "cynomolgus" 13 "1" "week" "axillary lymph node" "mild-foamy/granular macrophages" "no" "tr" "NA"
"475" "Compound 18" "Study 92" "cynomolgus" 13 "0.29999999999999999" "week" "injection site" "minimal-foamy/granular macrophages" "no" "r" "NA"
"476" "Compound 18" "Study 92" "cynomolgus" 13 "1" "week" "injection site" "minimal-foamy/granular macrophages" "no" "r" "NA"
"477" "Compound 18" "Study 93" "rat" 13 "0.10000000000000001" "qod" "injection site" "foamy/granular macrophages, fibrosis, edema" "no" "r" "NA"
"478" "Compound 18" "Study 93" "rat" 13 "0.25" "qod" "injection site" "foamy/granular macrophages, fibrosis, edema" "no" "r" "NA"
"479" "Compound 18" "Study 93" "rat" 13 "0.59999999999999998" "qod" "injection site" "foamy/granular macrophages, fibrosis, edema" "no" "tr" "NA"
"480" "Compound 18" "Study 93" "rat" 13 "3" "qod" "injection site" "foamy/granular macrophages, fibrosis, edema" "no" "tr" "NA"
"481" "Compound 18" "Study 93" "rat" 13 "0.25" "qod" "lymph node" "minimal-foamy/granular macrophages" "no" "nr" "NA"
"482" "Compound 18" "Study 93" "rat" 13 "0.59999999999999998" "qod" "lymph node" "minimal-foamy/granular macrophages" "no" "nr" "NA"
"483" "Compound 18" "Study 93" "rat" 13 "3" "qod" "lymph node" "minimal-foamy/granular macrophages" "no" "nr" "NA"
"484" "Compound 18" "Study 93" "rat" 13 "0.59999999999999998" "qod" "spleen" "mild-foamy/granular macrophages" "no" "nr" "NA"
"485" "Compound 18" "Study 93" "rat" 13 "3" "qod" "spleen" "mild-foamy/granular macrophages" "no" "nr" "NA"
"486" "Compound 18" "Study 93" "rat" 13 "0.59999999999999998" "qod" "testis" "mild-foamy/granular macrophages" "no" "nr" "NA"
"487" "Compound 18" "Study 93" "rat" 13 "3" "qod" "testis" "mild-foamy/granular macrophages" "no" "nr" "NA"
"488" "Compound 18" "Study 93" "rat" 13 "3" "qod" "choroid plexus" "minimal-epithelium vacuolation" "no" "nr" "NA"
"489" "Compound 18" "Study 93" "rat" 13 "0.59999999999999998" "qod" "pituitary gland" "minimal-epithelium vacuolation" "no" "nr" "NA"
"490" "Compound 18" "Study 93" "rat" 13 "3" "qod" "pituitary gland" "minimal-epithelium vacuolation" "no" "nr" "NA"
"491" "Compound 18" "Study 93" "rat" 13 "3" "qod" "liver" "minimal-hepatocyte vacuolation" "no" "nr" "NA"
"492" "Compound 18" "Study 93" "rat" 13 "0.25" "qod" "stifle joint" "mild-vacuolation" "no" "nr" "NA"
"493" "Compound 18" "Study 93" "rat" 13 "0.59999999999999998" "qod" "stifle joint" "mild-vacuolation" "no" "nr" "NA"
"494" "Compound 18" "Study 93" "rat" 13 "3" "qod" "stifle joint" "mild-vacuolation" "no" "nr" "NA"
"495" "Compound 18" "Study 94" "rat" 4 "3" "week" "hypothalamus" "PEG accumulation" "yes" "nr" "NA"
"496" "Compound 18" "Study 94" "rat" 4 "6" "week" "hypothalamus" "PEG accumulation" "yes" "nr" "NA"
"497" "Compound 18" "Study 94" "rat" 4 "3" "week" "spinal cord" "PEG accumulation" "yes" "r" "NA"
"498" "Compound 18" "Study 94" "rat" 4 "6" "week" "spinal cord" "PEG accumulation" "yes" "nr" "NA"
"499" "Compound 18" "Study 94" "rat" 4 "1" "week" "axillary lymph node" "foamy/granular macrophages" "no" "r" "NA"
"500" "Compound 18" "Study 94" "rat" 4 "3" "week" "axillary lymph node" "foamy/granular macrophages" "no" "r" "NA"
"501" "Compound 18" "Study 94" "rat" 4 "6" "week" "axillary lymph node" "foamy/granular macrophages" "no" "tr" "NA"
"502" "Compound 18" "Study 94" "rat" 4 "1" "week" "inguinal lymph node" "foamy/granular macrophages" "no" "r" "NA"
"503" "Compound 18" "Study 94" "rat" 4 "3" "week" "inguinal lymph node" "foamy/granular macrophages" "no" "r" "NA"
"504" "Compound 18" "Study 94" "rat" 4 "6" "week" "inguinal lymph node" "foamy/granular macrophages" "no" "tr" "NA"
"505" "Compound 18" "Study 94" "rat" 4 "0.29999999999999999" "week" "injection site" "foamy/granular macrophages" "no" "r" "NA"
"506" "Compound 18" "Study 94" "rat" 4 "1" "week" "injection site" "foamy/granular macrophages" "no" "r" "NA"
"507" "Compound 18" "Study 94" "rat" 4 "3" "week" "injection site" "foamy/granular macrophages" "no" "r" "NA"
"508" "Compound 18" "Study 94" "rat" 4 "6" "week" "injection site" "foamy/granular macrophages" "no" "r" "NA"
"509" "Compound 18" "Study 94" "rat" 4 "1" "week" "thigh muscle" "foamy/granular macrophages" "no" "r" "NA"
"510" "Compound 18" "Study 94" "rat" 4 "3" "week" "thigh muscle" "foamy/granular macrophages" "no" "r" "NA"
"511" "Compound 18" "Study 94" "rat" 4 "6" "week" "thigh muscle" "foamy/granular macrophages" "no" "r" "NA"
"512" "Compound 18" "Study 94" "rat" 4 "3" "week" "knee joint" "vacuolation" "no" "r" "NA"
"513" "Compound 18" "Study 94" "rat" 4 "6" "week" "knee joint" "vacuolation" "no" "tr" "NA"
"514" "Compound 18" "Study 94" "rat" 4 "1" "week" "femur" "vacuolation" "no" "nr" "NA"
"515" "Compound 18" "Study 94" "rat" 4 "3" "week" "femur" "vacuolation" "no" "nr" "NA"
"516" "Compound 18" "Study 94" "rat" 4 "6" "week" "femur" "vacuolation" "no" "nr" "NA"
"517" "Compound 18" "Study 95" "cynomolgus" 4 "5" "qod" "kidney" "tubular vacuolation" "no" "nr" "NA"
"518" "Compound 18" "Study 95" "cynomolgus" 4 "1" "qod" "choroid plexus" "minimal-foamy/granular macrophages" "no" "r" "NA"
"519" "Compound 18" "Study 95" "cynomolgus" 4 "5" "qod" "choroid plexus" "minimal-foamy/granular macrophages" "no" "nr" "NA"
"520" "Compound 18" "Study 95" "cynomolgus" 7 "5" "week" "choroid plexus" "minimal-foamy/granular macrophages" "no" "NA" "NA"
"521" "Compound 18" "Study 95" "cynomolgus" 4 "0.25" "qod" "axillary lymph node" "foamy/granular macrophages" "no" "r" "NA"
"522" "Compound 18" "Study 95" "cynomolgus" 4 "1" "qod" "axillary lymph node" "sinus histiocytosis, foamy/granular macrophages" "no" "r" "NA"
"523" "Compound 18" "Study 95" "cynomolgus" 4 "5" "qod" "axillary lymph node" "sinus histiocytosis, foamy/granular macrophages" "no" "nr" "NA"
"524" "Compound 18" "Study 95" "cynomolgus" 7 "1" "week" "axillary lymph node" "foamy/granular macrophages" "no" "NA" "NA"
"525" "Compound 18" "Study 95" "cynomolgus" 7 "5" "week" "axillary lymph node" "foamy/granular macrophages" "no" "NA" "NA"
"526" "Compound 18" "Study 95" "cynomolgus" 4 "0.25" "qod" "mesenteric lymph node" "foamy/granular macrophages" "no" "r" "NA"
"527" "Compound 18" "Study 95" "cynomolgus" 4 "1" "qod" "mesenteric lymph node" "foamy/granular macrophages" "no" "r" "NA"
"528" "Compound 18" "Study 95" "cynomolgus" 4 "5" "qod" "mesenteric lymph node" "foamy/granular macrophages" "no" "nr" "NA"
"529" "Compound 18" "Study 95" "cynomolgus" 7 "1" "week" "mesenteric lymph node" "foamy/granular macrophages" "no" "NA" "NA"
"530" "Compound 18" "Study 95" "cynomolgus" 7 "5" "week" "mesenteric lymph node" "foamy/granular macrophages" "no" "NA" "NA"
"531" "Compound 18" "Study 95" "cynomolgus" 4 "0.25" "qod" "mandibular lymph node" "foamy/granular macrophages" "no" "r" "NA"
"532" "Compound 18" "Study 95" "cynomolgus" 4 "1" "qod" "mandibular lymph node" "foamy/granular macrophages" "no" "r" "NA"
"533" "Compound 18" "Study 95" "cynomolgus" 4 "5" "qod" "mandibular lymph node" "foamy/granular macrophages" "no" "nr" "NA"
"534" "Compound 18" "Study 95" "cynomolgus" 7 "1" "week" "mandibular lymph node" "foamy/granular macrophages" "no" "NA" "NA"
"535" "Compound 18" "Study 95" "cynomolgus" 7 "5" "week" "mandibular lymph node" "foamy/granular macrophages" "no" "NA" "NA"
"536" "Compound 18" "Study 95" "cynomolgus" 4 "0.25" "qod" "injection site" "foamy/granular macrophages" "no" "r" "NA"
"537" "Compound 18" "Study 95" "cynomolgus" 4 "1" "qod" "injection site" "foamy/granular macrophages" "no" "r" "NA"
"538" "Compound 18" "Study 95" "cynomolgus" 4 "5" "qod" "injection site" "foamy/granular macrophages" "no" "r" "NA"
"539" "Compound 18" "Study 95" "cynomolgus" 7 "1" "week" "injection site" "foamy/granular macrophages" "no" "NA" "NA"
"540" "Compound 18" "Study 95" "cynomolgus" 7 "5" "week" "injection site" "foamy/granular macrophages" "no" "NA" "NA"
"541" "Compound 18" "Study 95" "cynomolgus" 4 "5" "qod" "femur joint" "vacuolation" "no" "r" "NA"
"542" "Compound 18" "Study 95" "cynomolgus" 4 "1" "qod" "hypothalamus" "PEG accumulation" "yes" "r" "NA"
"543" "Compound 18" "Study 95" "cynomolgus" 4 "5" "qod" "hypothalamus" "PEG accumulation" "yes" "nr" "NA"
"544" "Compound 18" "Study 95" "cynomolgus" 7 "1" "week" "hypothalamus" "PEG accumulation" "yes" "NA" "NA"
"545" "Compound 18" "Study 95" "cynomolgus" 7 "5" "week" "hypothalamus" "PEG accumulation" "yes" "NA" "NA"
"546" "Compound 19" "Study 96" "dog" 39 "80/125" "day" "adrenal gland" "mild-decreased cortical vacuolation" "no" "r" "secondary"
"547" "Compound 19" "Study 99" "rat" 13 "1000" "day" "liver" "minimal-hepatocyte hypertrophy" "no" "r" "NA"
"548" "Compound 19" "Study 99" "rat" 13 "1000" "day" "thyroid gland" "minimal-follicular hypertrophy" "no" "r" "NA"
"549" "Compound 19" "Study 99" "rat" 13 "600" "day" "liver" "minimal-hepatocyte hypertrophy" "no" "r" "NA"
"550" "Compound 19" "Study 99" "rat" 13 "600" "day" "thyroid gland" "minimal-follicular hypertrophy" "no" "r" "NA"
"551" "Compound 19" "Study 100" "rat" 6 "600" "day" "liver" "minimal-hepatocyte hypertrophy" "no" "r" "NA"
"552" "Compound 20" "Study 103" "rat" 26 "300" "day" "gland,lacrimal" "marked-degeneration" "yes" "nr" "NA"
"553" "Compound 20" "Study 103" "rat" 26 "300" "day" "gland,harderian" "moderate-degeneration/atrophy" "no" "nr" "NA"
"554" "Compound 20" "Study 103" "rat" 26 "300" "day" "parotid gland" "mild-degeneration" "no" "r" "NA"
"555" "Compound 20" "Study 103" "rat" 26 "300" "day" "salivary gland" "mild-degeneration" "no" "r" "NA"
"556" "Compound 20" "Study 104" "rat" 4 "500" "day" "heart" "myodegeneration,myonecrosis" "yes" "nr" "NA"
"557" "Compound 20" "Study 104" "rat" 4 "500" "day" "muscle,skeletal" "myodegeneration" "yes" "r" "NA"
"558" "Compound 20" "Study 104" "rat" 4 "750" "day" "heart" "myodegeneration,myonecrosis" "yes" "nr" "NA"
"559" "Compound 20" "Study 104" "rat" 4 "750" "day" "muscle,skeletal" "myodegeneration" "yes" "nr" "NA"
"560" "Compound 20" "Study 104" "rat" 4 "750" "day" "parotid gland" "degeneration, necrosis, atrophy" "no" "NA" "NA"
"561" "Compound 20" "Study 104" "rat" 4 "750" "day" "salivary gland" "degeneration, necrosis, atrophy" "no" "NA" "NA"
"562" "Compound 20" "Study 104" "rat" 4 "750" "day" "gland,harderian" "epithelial degeneration/regeneration" "no" "NA" "NA"
"563" "Compound 20" "Study 104" "rat" 4 "750" "day" "liver" "minimal-hepatocyte hypertrophy" "no" "r" "NA"
"564" "Compound 20" "Study 104" "rat" 4 "500" "day" "parotid gland" "degeneration, necrosis, atrophy" "no" "NA" "NA"
"565" "Compound 20" "Study 104" "rat" 4 "500" "day" "salivary gland" "degeneration, necrosis, atrophy" "no" "NA" "NA"
"566" "Compound 20" "Study 104" "rat" 4 "500" "day" "gland,harderian" "epithelial degeneration/regeneration" "no" "NA" "NA"
"567" "Compound 20" "Study 104" "rat" 4 "500" "day" "liver" "minimal-hepatocyte hypertrophy" "no" "r" "NA"
"568" "Compound 20" "Study 104" "rat" 4 "200" "day" "liver" "minimal-hepatocyte hypertrophy" "no" "r" "NA"
"569" "Compound 20" "Study 105" "dog" 4 "800" "day" "kidney" "mild-tubular dilatation, epithelial attenuation,epithelial regeneration" "yes" "nr" "NA"
"570" "Compound 21" "Study 106" "dog" 39 "20" "day" "liver" "moderate-kupffer cell pigmentation" "no" "NA" "NA"
"571" "Compound 21" "Study 107" "rat" 26 "200" "day" "sciatic nerve" "perineurium degeneration" "yes" "tr" "NA"
"572" "Compound 21" "Study 107" "rat" 26 "200" "day" "nerve,tibial" "perineurium degeneration" "yes" "tr" "NA"
"573" "Compound 21" "Study 107" "rat" 26 "200" "day" "nerve,trigeminal" "perineurium degeneration" "yes" "tr" "NA"
"574" "Compound 21" "Study 107" "rat" 26 "200" "day" "ganglion,dorsal root" "perineurium degeneration" "yes" "tr" "NA"
"575" "Compound 21" "Study 107" "rat" 26 "200" "day" "hypoglossal nerve" "perineurium degeneration" "yes" "tr" "NA"
"576" "Compound 21" "Study 107" "rat" 26 "200" "day" "glossopharyngeal nerve" "perineurium degeneration" "yes" "tr" "NA"
"577" "Compound 21" "Study 107" "rat" 26 "80" "day" "sciatic nerve" "perineurium degeneration" "yes" "r" "NA"
"578" "Compound 21" "Study 107" "rat" 26 "80" "day" "nerve,tibial" "perineurium degeneration" "yes" "r" "NA"
"579" "Compound 21" "Study 107" "rat" 26 "80" "day" "nerve,trigeminal" "perineurium degeneration" "yes" "r" "NA"
"580" "Compound 21" "Study 107" "rat" 26 "80" "day" "ganglion,dorsal root" "perineurium degeneration" "yes" "r" "NA"
"581" "Compound 21" "Study 107" "rat" 26 "80" "day" "hypoglossal nerve" "perineurium degeneration" "yes" "r" "NA"
"582" "Compound 21" "Study 107" "rat" 26 "80" "day" "glossopharyngeal nerve" "perineurium degeneration" "yes" "r" "NA"
"583" "Compound 21" "Study 107" "rat" 26 "200" "day" "brain" "inflammation" "yes" "r" "NA"
"584" "Compound 21" "Study 107" "rat" 26 "200" "day" "liver" "lipid accumulation, hepatocyte vacuolation,hepatocyte hypertrophy" "no" "r" "NA"
"585" "Compound 21" "Study 107" "rat" 26 "80" "day" "liver" "lipid accumulation,hepatocyte vacuolation,hepatocyte hypertrophy" "no" "r" "NA"
"586" "Compound 21" "Study 107" "rat" 26 "30" "day" "liver" "lipid accumulation" "no" "r" "NA"
"587" "Compound 21" "Study 107" "rat" 26 "200" "day" "pituitary gland" "vacuolation" "no" "r" "NA"
"588" "Compound 21" "Study 107" "rat" 26 "80" "day" "pituitary gland" "vacuolation" "no" "r" "NA"
"589" "Compound 21" "Study 107" "rat" 26 "80" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"590" "Compound 21" "Study 107" "rat" 26 "200" "day" "thyroid gland" "follicular hypertrophy,  follicular hyperplasia" "no" "r" "NA"
"591" "Compound 21" "Study 107" "rat" 26 "200" "day" "adrenal gland" "cortical hypertrophy" "no" "r" "NA"
"592" "Compound 21" "Study 107" "rat" 26 "200" "day" "muscle,skeletal" "myodegeneration/myonecrosis" "no" "r" "NA"
"593" "Compound 21" "Study 107" "rat" 26 "200" "day" "kidney" "chronic progressive nephropathy" "no" "nr" "NA"
"594" "Compound 21" "Study 107" "rat" 26 "200" "day" "heart" "cardiomyopathy" "no" "nr" "NA"
"595" "Compound 21" "Study 107" "rat" 26 "80" "day" "heart" "cardiomyopathy" "no" "nr" "NA"
"596" "Compound 21" "Study 108" "dog" 13 "60/40" "day" "bone marrow" "marked-hyperplasia" "no" "tr" "secondary"
"597" "Compound 21" "Study 108" "dog" 13 "60/40" "day" "spleen" "marked-extramedullary hematopoiesis" "no" "tr" "secondary"
"598" "Compound 21" "Study 108" "dog" 13 "60/40" "day" "liver" "marked-extramedullary hematopoiesis, mild-hemosiderin" "no" "tr" "secondary"
"599" "Compound 21" "Study 108" "dog" 13 "60/40" "day" "heart" "mild-extramedullary hematopoiesis" "no" "NA" "secondary"
"600" "Compound 21" "Study 108" "dog" 13 "60/40" "day" "kidney" "mild-extramedullary hematopoiesis" "no" "NA" "secondary"
"601" "Compound 21" "Study 108" "dog" 13 "60/40" "day" "brain" "mild-extramedullary hematopoiesis" "no" "NA" "secondary"
"602" "Compound 21" "Study 108" "dog" 13 "25" "day" "thymus gland" "mild-atrophy" "no" "NA" "stress"
"603" "Compound 21" "Study 108" "dog" 13 "60/40" "day" "adrenal gland" "lipid depletion" "no" "NA" "stress"
"604" "Compound 21" "Study 108" "dog" 13 "25" "day" "bone marrow" "marked-hyperplasia" "no" "tr" "secondary"
"605" "Compound 21" "Study 108" "dog" 13 "25" "day" "spleen" "marked-extramedullary hematopoiesis" "no" "tr" "secondary"
"606" "Compound 21" "Study 108" "dog" 13 "25" "day" "liver" "mild-hemosiderin" "no" "tr" "secondary"
"607" "Compound 21" "Study 108" "dog" 13 "25" "day" "heart" "mild-extramedullary hematopoiesis" "no" "NA" "secondary"
"608" "Compound 21" "Study 108" "dog" 13 "25" "day" "kidney" "mild-extramedullary hematopoiesis" "no" "NA" "secondary"
"609" "Compound 21" "Study 108" "dog" 13 "25" "day" "brain" "mild-extramedullary hematopoiesis" "no" "NA" "secondary"
"610" "Compound 21" "Study 108" "dog" 13 "10" "day" "bone marrow" "marked-hyperplasia" "no" "tr" "secondary"
"611" "Compound 21" "Study 109" "rat" 13 "100" "day" "liver" "hepatocyte vacuolation, hepatocyte hypertrophy" "no" "r" "NA"
"612" "Compound 21" "Study 109" "rat" 13 "100" "day" "thyroid gland" "follicular hypertrophy" "no" "nr" "secondary"
"613" "Compound 21" "Study 109" "rat" 13 "100" "day" "pituitary gland" "slight-vacuolation" "no" "r" "secondary"
"614" "Compound 21" "Study 109" "rat" 13 "30" "day" "thyroid gland" "follicular hypertrophy" "no" "nr" "secondary"
"615" "Compound 21" "Study 110" "rat" 4 "100" "day" "liver" "moderate-hepatocyte hypertrophy,marked- lipid accumulation" "no" "tr" "NA"
"616" "Compound 21" "Study 110" "rat" 4 "100" "day" "thyroid gland" "moderate-follicular hypertrophy" "no" "r" "secondary"
"617" "Compound 21" "Study 110" "rat" 4 "100" "day" "muscle,skeletal" "myodegeneration/myoregeneration" "yes" "r" "NA"
"618" "Compound 21" "Study 110" "rat" 4 "300" "day" "liver" "moderate-hepatocyte hypertrophy,marked- lipid accumulation" "no" "tr" "NA"
"619" "Compound 21" "Study 110" "rat" 4 "300" "day" "thyroid gland" "moderate-follicular hypertrophy" "no" "r" "secondary"
"620" "Compound 21" "Study 110" "rat" 4 "300" "day" "pituitary gland" "mild-hypertrophy" "no" "r" "NA"
"621" "Compound 21" "Study 110" "rat" 4 "300" "day" "adrenal gland" "mild-cortical hypertrophy" "no" "r" "stress"
"622" "Compound 21" "Study 110" "rat" 4 "300" "day" "thymus gland" "mild-increased lymphocytolysis" "no" "r" "stress"
"623" "Compound 21" "Study 110" "rat" 4 "300" "day" "muscle,skeletal" "myodegeneration/myoregeneration" "yes" "r" "NA"
"624" "Compound 21" "Study 111" "dog" 4 "50" "day" "adrenal gland" "minimal-lipid depletion" "no" "r" "NA"
"625" "Compound 21" "Study 111" "dog" 4 "75" "day" "adrenal gland" "minimal-lipid depletion" "no" "r" "NA"
"626" "Compound 22" "Study 112" "rat" 26 "20 male & 60 female" "day" "kidney" "chronic progressive nephropathy, increased hyaline droplets, cortical atrophy, tubular atrophy, fibrosis, tubular degeneration/regeneration, tubular dilatation, infiltrate, granuloma, pelvic dilatation, hyperplasia, perirenal inflammation" "yes" "nr" "NA"
"627" "Compound 22" "Study 112" "rat" 26 "60 male & 160/120 female" "day" "kidney" "chronic progressive nephropathy,increased hyaline droplets, cortical atrophy, tubular atrophy, fibrosis, tubular degeneration/regeneration, tubular dilatation,infiltrate, granuloma, pelvic dilatation, hyperplasia, perirenal inflammation" "yes" "nr" "NA"
"628" "Compound 22" "Study 112" "rat" 26 "5 male & 20 female" "day" "kidney" "increased hyaline droplets" "no" "r" "NA"
"629" "Compound 22" "Study 112" "rat" 26 "60 male & 160/120 female" "day" "ureter" "dilatation, infiltrate" "no" "r" "NA"
"630" "Compound 22" "Study 112" "rat" 26 "60 male & 160/120 female" "day" "bladder" "infiltrate" "no" "r" "NA"
"631" "Compound 22" "Study 112" "rat" 26 "5 male & 20 female" "day" "liver" "hepatocyte pigmentation, kupffer cell pigmentation, macrophages" "no" "r" "NA"
"632" "Compound 22" "Study 112" "rat" 26 "20 male & 60 female" "day" "liver" "hepatocyte hypertrophy, hepatocyte pigmentation, kupffer cell pigmentation, macrophages, multinucleated hepatocytes, foci, hepatocyte adenoma" "yes" "nr" "NA"
"633" "Compound 22" "Study 112" "rat" 26 "60 male & 160/120 female" "day" "liver" "hepatocyte hypertrophy,hepatocyte pigmentation,kupffer cell pigmentation, macrophages, multinucleated hepatocytes" "yes" "nr" "NA"
"634" "Compound 22" "Study 112" "rat" 26 "5 male & 20 female" "day" "nasal turbinate" "epithelium pigment" "no" "nr" "NA"
"635" "Compound 22" "Study 112" "rat" 26 "20 male & 60 female" "day" "nasal turbinate" "epithelium pigment" "no" "nr" "NA"
